IDs	KO	pathway_A	order	Gene	Comment/Uniprot comment
ID7861	K03168	no_pathway		topA; DNA topoisomerase I [EC:5.6.2.1]	
ID7862	K03169	no_pathway		topB; DNA topoisomerase III [EC:5.6.2.1]	
ID7863	K03170	no_pathway		"topG, rgy; reverse gyrase [EC:5.6.2.2 3.6.4.12]"	
ID7864					
ID7865		Nucleases/Helicases			
ID7866					
ID7867	K01174	no_pathway		nuc; micrococcal nuclease [EC:3.1.31.1]	
ID7868	K16898	no_pathway		addA; ATP-dependent helicase/nuclease subunit A [EC:3.1.-.- 3.6.4.12]	
ID7869	K16899	no_pathway		addB; ATP-dependent helicase/nuclease subunit B [EC:3.1.-.- 3.6.4.12]	
ID7870	K03698	no_pathway		"cbf, cbf1; 3'-5' exoribonuclease [EC:3.1.-.-]"	
ID7871	K03722	no_pathway		dinG; ATP-dependent DNA helicase DinG [EC:3.6.4.12]	"DNA-dependent ATPase and 5'-3' DNA helicase (PubMed:12748189, PubMed:17416902). Can also unwind DNA-RNA hybrid duplexes."
ID7872	K05982	no_pathway		"E3.1.21.7, nfi; deoxyribonuclease V [EC:3.1.21.7]"	
ID7873	K07053	no_pathway		"E3.1.3.97; 3',5'-nucleoside bisphosphate phosphatase [EC:3.1.3.97]"	"Efficiently catalyzes the hydrolysis of the 3'-phosphate from 3',5'-bis-phosphonucleotides as well as the successive hydrolysis of 5'-phosphomononucleotides from the 5'-end of short pieces of RNA and DNA, with no specificity toward the identity of the nucleotide base. Is more efficient at hydrolyzing RNA oligonucleotides than DNA oligonucleotides. "
ID7874	K03726	no_pathway		helS; helicase [EC:3.6.4.-]	DNA-dependent ATPase and 3'-5' DNA helicase that may be involved in repair of stalled replication forks.
ID7875	K03727	no_pathway		helY; ATP-dependent RNA helicase HelY [EC:3.6.4.-]	
ID7876	K03580	no_pathway		hepA; ATP-dependent helicase HepA [EC:3.6.4.-]	Transcription regulator that activates transcription by stimulating RNA polymerase (RNAP) recycling in case of stress conditions such as supercoiled DNA or high salt concentrations. 
ID7877	K03724	no_pathway		lhr; ATP-dependent helicase Lhr and Lhr-like helicase [EC:3.6.4.-]	
ID7878	K07060	no_pathway		nob1; endoribonuclease Nob1 [EC:3.1.-.-]	Toxic component of a type II toxin-antitoxin (TA) system (Potential). Processes pre-16S-rRNA at its 3' end (the D-site) to yield the mature 3' end.
ID7879	K07503	no_pathway		nucS; endonuclease [EC:3.1.-.-]	Cleaves both 3' and 5' ssDNA extremities of branched DNA structures. Binds to ssDNA
ID7880	K03656	no_pathway		rep; ATP-dependent DNA helicase Rep [EC:3.6.4.12]	A single-stranded DNA-dependent ATPase involved in DNA replication; it can initiate unwinding at a nick in the DNA. 
ID7881	K01147	no_pathway		rnb; exoribonuclease II [EC:3.1.13.1]	Involved in mRNA degradation. Hydrolyzes single-stranded polyribonucleotides processively in the 3' to 5' direction 
ID7882	K03684	no_pathway		rnd; ribonuclease D [EC:3.1.13.5]	Exonuclease involved in the 3' processing of various precursor tRNAs.
ID7883	K08301	no_pathway		"rng, cafA; ribonuclease G [EC:3.1.26.-]"	Involved in the processing of the 5'-end of 16S rRNA.
ID7884	K03536	no_pathway		rnpA; ribonuclease P protein component [EC:3.1.26.5]	RNaseP catalyzes the removal of the 5'-leader sequence from pre-tRNA to produce the mature 5'-terminus. It can also cleave other RNA substrates such as 4.5S RNA. 
ID7885	K00989	no_pathway		rph; ribonuclease PH [EC:2.7.7.56]	
ID7886	K03424	no_pathway		tatD; TatD DNase family protein [EC:3.1.21.-]	3'-5' exonuclease that prefers single-stranded DNA and RNA. May play a role in the H2O2-induced DNA damage repair.
ID7887	K18959	no_pathway		uvsW; ATP-dependent DNA helicase UvsW [EC:3.6.4.12]	Plays important roles in recombination-dependent DNA repair and the reorganization of stalled replication forks during viral DNA synthesis
ID7888					
ID7889		Transcription			
ID7890					
ID7891	K03057	no_pathway		tfs; transcription factor S	Induces RNA cleavage activity in the RNA polymerase. 
ID7892	K03624	no_pathway		greA; transcription elongation factor GreA	
ID7893	K04760	no_pathway		greB; transcription elongation factor GreB	
ID7894	K01356	no_pathway		lexA; repressor LexA [EC:3.4.21.88]	"A probable transcription regulator, probably involved in carbon metabolism"
ID7895	K03925	no_pathway		mraZ; MraZ protein	Negatively regulates its own expression and that of the subsequent genes in the proximal part of the division and cell wall (dcw) gene cluster. Acts by binding directly to DNA
ID7896	K02600	no_pathway		nusA; transcription termination/antitermination protein NusA	
ID7897	K03625	no_pathway		nusB; transcription antitermination protein NusB	
ID7898	K02601	no_pathway		nusG; transcription termination/antitermination protein NusG	
ID7899					
ID7900		RNA polymerase			
ID7901					
ID7902	K02999	RNA polymerase		"RPA1, POLR1A; DNA-directed RNA polymerase I subunit RPA1 [EC:2.7.7.6]"	
ID7903	K03000	RNA polymerase		"RPA12, ZNRD1; DNA-directed RNA polymerase I subunit RPA12"	
ID7904	K03001	RNA polymerase		RPA14; DNA-directed RNA polymerase I subunit RPA14	
ID7905	K03002	RNA polymerase		"RPA2, POLR1B; DNA-directed RNA polymerase I subunit RPA2 [EC:2.7.7.6]"	
ID7906	K03003	RNA polymerase		RPA34; DNA-directed RNA polymerase I subunit RPA34	
ID7907	K03004	RNA polymerase		RPA43; DNA-directed RNA polymerase I subunit RPA43	
ID7908	K03005	RNA polymerase		"RPA49, POLR1E; DNA-directed RNA polymerase I subunit RPA49"	
ID7909	K03040	RNA polymerase		rpoA; DNA-directed RNA polymerase subunit alpha [EC:2.7.7.6]	
ID7910	K03041	RNA polymerase		rpoA1; DNA-directed RNA polymerase subunit A' [EC:2.7.7.6]	
ID7911	K03042	RNA polymerase		"rpoA2; DNA-directed RNA polymerase subunit A"" [EC:2.7.7.6]"	
ID7912	K13798	RNA polymerase		rpoB; DNA-directed RNA polymerase subunit B [EC:2.7.7.6]	
ID7913	K03043	RNA polymerase		rpoB; DNA-directed RNA polymerase subunit beta [EC:2.7.7.6]	
ID7914	K03044	RNA polymerase		rpoB1; DNA-directed RNA polymerase subunit B' [EC:2.7.7.6]	
ID7915	K03045	RNA polymerase		"rpoB2; DNA-directed RNA polymerase subunit B"" [EC:2.7.7.6]"	
ID7916	K13797	RNA polymerase		rpoBC; DNA-directed RNA polymerase subunit beta-beta' [EC:2.7.7.6]	
ID7917	K03046	RNA polymerase		rpoC; DNA-directed RNA polymerase subunit beta' [EC:2.7.7.6]	
ID7918	K03047	RNA polymerase		rpoD; DNA-directed RNA polymerase subunit D [EC:2.7.7.6]	
ID7919	K03048	RNA polymerase		rpoE; DNA-directed RNA polymerase subunit delta	
ID7920	K03049	RNA polymerase		rpoE1; DNA-directed RNA polymerase subunit E' [EC:2.7.7.6]	
ID7921	K03050	RNA polymerase		"rpoE2; DNA-directed RNA polymerase subunit E"" [EC:2.7.7.6]"	
ID7922	K03051	RNA polymerase		rpoF; DNA-directed RNA polymerase subunit F [EC:2.7.7.6]	
ID7923	K03052	RNA polymerase		rpoG; DNA-directed RNA polymerase subunit G [EC:2.7.7.6]	
ID7924	K03053	RNA polymerase		rpoH; DNA-directed RNA polymerase subunit H [EC:2.7.7.6]	
ID7925	K03055	RNA polymerase		rpoK; DNA-directed RNA polymerase subunit K [EC:2.7.7.6]	
ID7926	K03056	RNA polymerase		rpoL; DNA-directed RNA polymerase subunit L [EC:2.7.7.6]	
ID7927	K03058	RNA polymerase		rpoN; DNA-directed RNA polymerase subunit N [EC:2.7.7.6]	
ID7928	K03059	RNA polymerase		rpoP; DNA-directed RNA polymerase subunit P [EC:2.7.7.6]	
ID7929	K03060	RNA polymerase		rpoZ; DNA-directed RNA polymerase subunit omega [EC:2.7.7.6]	
ID7930	K00986	no_pathway		ltrA; RNA-directed DNA polymerase [EC:2.7.7.49]	
ID7931	K03086	no_pathway		rpoD; RNA polymerase primary sigma factor	
ID7932	K03088	no_pathway		"rpoE; RNA polymerase sigma-70 factor, ECF subfamily"	
ID7933	K03089	no_pathway		rpoH; RNA polymerase sigma-32 factor	
ID7934	K03054	no_pathway		rpoI; DNA-directed RNA polymerase subunit I [EC:2.7.7.6]	
ID7935					
ID7936		Translation			
ID7937					
ID7938	K03263	Translation		EIF5A; translation initiation factor 5A	Functions by promoting the formation of the first peptide bond
ID7939	K02518	Translation		infA; translation initiation factor IF-1	
ID7940	K02519	Translation		"infB, MTIF2; translation initiation factor IF-2"	
ID7941	K02520	Translation		"infC, MTIF3; translation initiation factor IF-3"	
ID7942	K02356	Translation		efp; elongation factor P	Involved in peptide bond synthesis.
ID7943	K02357	no_pathway		"tsf, TSFM; elongation factor Ts"	Associates with the EF-Tu.GDP complex and induces the exchange of GDP to GTP
ID7944	K02355	Translation		"fusA, GFM, EFG; elongation factor G"	Catalyzes the GTP-dependent ribosomal translocation step during translation elongation
ID7945	K03833	no_pathway		"selB, EEFSEC; selenocysteine-specific elongation factor"	
ID7946	K07739	Translation		"ELP3, KAT9; elongator complex protein 3 [EC:2.3.1.48]"	tRNA uridine(34) acetyltransferase
ID7947	K06174	Translation		"ABCE1, Rli1; ATP-binding cassette, sub-family E, member 1"	Functional link between ribosome formation and biogenesis of iron-sulfur proteins
ID7948	K01170	Translation		"endA; tRNA-intron endonuclease, archaea type [EC:4.6.1.16]"	Endonuclease that removes tRNA introns
ID7949	K00809	Translation		"DHPS, dys; deoxyhypusine synthase [EC:2.5.1.46]"	"The enzyme catalyses the following reaction: Spermidine + [eIF-5A]-lysine = 1,3-diaminopropane + [eIF-5A]-deoxyhypusine The modified version of eIF-5A, and DS, are required for eukaryotic cell proliferation"
ID7950	K07561	Translation		"DPH1, dph2; 2-(3-amino-3-carboxypropyl)histidine synthase [EC:2.5.1.108]"	modifies a histidine residue of the translation elongation factor 2 (EF2) via a 3-amino-3-carboxypropyl radical.
ID7951	K17866	Translation		DPH2; diphthamide biosynthesis protein 2	
ID7952	K15455	Translation		"DPH3, KTI11; diphthamide biosynthesis protein 3"	
ID7953	K17867	Translation		"DPH4, DNAJC24; diphthamide biosynthesis protein 4"	
ID7954	K00586	Translation		DPH5; diphthine methyl ester synthase [EC:2.1.1.314]	
ID7955	K20215	Translation		dph5; diphthine synthase [EC:2.1.1.98]	
ID7956	K06927	Translation		DPH6; diphthine-ammonia ligase [EC:6.3.1.14]	
ID7957	K17868	Translation		"DPH7, RRT2; diphthine methyl ester acylhydrolase [EC:3.1.1.97]"	
ID7958	K04568	Translation		"epmA, poxA; elongation factor P--(R)-beta-lysine ligase [EC:6.3.1.-]"	involved in the beta-lysylation step of the post-translational modification of translation elongation factor P (EF-P) 
ID7959	K02493	Translation		"hemK, prmC, HEMK; release factor glutamine methyltransferase [EC:2.1.1.297]"	"Methylates the class 1 translation termination release factors RF1/PrfA and RF2/PrfB on the glutamine residue of the universally conserved GGQ motif, i.e. on 'Gln-235' in RF1 and on 'Gln-252' in RF2."
ID7960	K01462	Translation		"PDF, def; peptide deformylase [EC:3.5.1.88]"	Removes the formyl group from the N-terminal Met of newly synthesized proteins
ID7961	K02835	Translation		"prfA, MTRF1, MRF1; peptide chain release factor 1"	
ID7962	K02836	Translation		prfB; peptide chain release factor 2	
ID7963	K02837	Translation		prfC; peptide chain release factor 3	
ID7964	K02839	Translation		prfH; peptide chain release factor	
ID7965	K13926	Translation		rbbA; ribosome-dependent ATPase	exhibits an intrinsic ATPase activity that is stimulated by both 70S ribosomes and 30S ribosomal subunits. Could be involved in protein-chain elongation and in release of deacyl-tRNA from ribosomes after peptide bond synthesis. Stimulates the synthesis of polyphenylalanine in vitro
ID7966	K02834	no_pathway		rbfA; ribosome-binding factor A	"One of at least 4 proteins (Era, RbfA, RimM and RsgA/YjeQ) that assist in the late maturation steps of the functional core of the 30S subunit."
ID7967	K06173	no_pathway		"truA, PUS1; tRNA pseudouridine38-40 synthase [EC:5.4.99.12]"	
ID7968					
ID7969		tRNA metabolism			
ID7970					
ID7971	K22837	no_pathway		ubaA; SAMP-activating enzyme [EC:2.7.7.100]	"Likely activates multiple ubiquitin-like SAMPs for protein conjugation as well as for sulfur transfer, via ATP-dependent adenylation at their C-terminus. "
ID7972	K21947	no_pathway		ttuA; tRNA-5-methyluridine54 2-sulfurtransferase [EC:2.8.1.15]	
ID7973	K14058	no_pathway		ttcA; tRNA 2-thiocytidine biosynthesis protein TtcA	
ID7974	K00773	no_pathway		"tgt, QTRT1; queuine tRNA-ribosyltransferase [EC:2.4.2.29]"	
ID7975	K18779	no_pathway		tgtA; 7-cyano-7-deazaguanine tRNA-ribosyltransferase [EC:2.4.2.48]	
ID7976	K14415	no_pathway		"RTCB, rtcB; tRNA-splicing ligase RtcB (3'-phosphate/5'-hydroxy nucleic acid ligase) [EC:6.5.1.8]"	GTP-dependent RNA ligase that is involved in tRNA splicing and RNA repair 
ID7977	K18979	no_pathway		queG; epoxyqueuosine reductase [EC:1.17.99.6]	"Catalyzes the conversion of epoxyqueuosine (oQ) to queuosine (Q), which is a hypermodified base found in the wobble positions of tRNA(Asp), tRNA(Asn), tRNA(His) and tRNA(Tyr)"
ID7978	K09765	no_pathway		queH; epoxyqueuosine reductase [EC:1.17.99.6]	"Catalyzes the conversion of epoxyqueuosine (oQ) to queuosine (Q), which is a hypermodified base found in the wobble positions of tRNA(Asp), tRNA(Asn), tRNA(His) and tRNA(Tyr)"
ID7979	K03650	no_pathway		"mnmE, trmE, MSS1; tRNA modification GTPase [EC:3.6.-.-]"	"Exhibits a very high intrinsic GTPase hydrolysis rate. Involved in the addition of a carboxymethylaminomethyl (cmnm) group at the wobble position (U34) of certain tRNAs, forming tRNA-cmnm5s2U34."
ID7980	K15904	no_pathway		kae1-bud32; bifunctional N6-L-threonylcarbamoyladenine synthase / protein kinase Bud32 [EC:2.3.1.234 2.7.11.1]	Required for the formation of a threonylcarbamoyl group on adenosine at position 37 (t6A37) in tRNAs that read codons beginning with adenine. Is a component of the KEOPS complex
ID7981	K01409	no_pathway		"KAE1, tsaD, QRI7; N6-L-threonylcarbamoyladenine synthase [EC:2.3.1.234]"	
ID7982	K07558	no_pathway		"K07558, cca; tRNA nucleotidyltransferase (CCA-adding enzyme) [EC:2.7.7.72]"	Catalyzes the addition and repair of the essential 3'-terminal CCA sequence in tRNAs without using a nucleic acid template
ID7983	K06936	no_pathway		raSEA; archaeosine synthase beta-subunit [EC:2.6.1.-]	"Is responsible for the final step in the biosynthesis of archaeosine, a modified nucleoside present in the dihydrouridine loop (D-loop) of archaeal tRNA"
ID7984	K07557	no_pathway		"tgtA2, arcS; archaeosine synthase alpha-subunit [EC:2.6.1.97 2.6.1.-]"	"Is responsible for the final step in the biosynthesis of archaeosine, a modified nucleoside present in the dihydrouridine loop (D-loop) of archaeal tRNA"
ID7985	K06932	no_pathway		tiaS; tRNA(Ile2)-agmatinylcytidine synthase [EC:6.3.4.22]	
ID7986	K04075	no_pathway		"tilS, mesJ; tRNA(Ile)-lysidine synthase [EC:6.3.4.19]"	
ID7987	K15865	tRNA metabolism		CDKAL1; threonylcarbamoyladenosine tRNA methylthiotransferase CDKAL1 [EC:2.8.4.5]	
ID7988	K01872	tRNA metabolism		"AARS, alaS; alanyl-tRNA synthetase [EC:6.1.1.7]"	
ID7989	K09759	tRNA metabolism		"aspC, aspS; nondiscriminating aspartyl-tRNA synthetase [EC:6.1.1.23]"	
ID7990	K01876	tRNA metabolism		aspS; aspartyl-tRNA synthetase [EC:6.1.1.12]	
ID7991	K01883	tRNA metabolism		"CARS, cysS; cysteinyl-tRNA synthetase [EC:6.1.1.16]"	
ID7992	K01884	tRNA metabolism		"cysS1; cysteinyl-tRNA synthetase, unknown class [EC:6.1.1.16]"	
ID7993	K22503	tRNA metabolism		DARS; aspartyl-tRNA synthetase [EC:6.1.1.12]	
ID7994	K01889	tRNA metabolism		"FARSA, pheS; phenylalanyl-tRNA synthetase alpha chain [EC:6.1.1.20]"	
ID7995	K01890	tRNA metabolism		"FARSB, pheT; phenylalanyl-tRNA synthetase beta chain [EC:6.1.1.20]"	
ID7996	K01880	tRNA metabolism		"GARS, glyS1; glycyl-tRNA synthetase [EC:6.1.1.14]"	
ID7997	K02433	tRNA metabolism		"gatA, QRSL1; aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit A [EC:6.3.5.6 6.3.5.7]"	
ID7998	K02434	tRNA metabolism		"gatB, PET112; aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit B [EC:6.3.5.6 6.3.5.7]"	
ID7999	K02435	tRNA metabolism		"gatC, GATC; aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit C [EC:6.3.5.6 6.3.5.7]"	
ID8000	K09482	tRNA metabolism		gatD; glutamyl-tRNA(Gln) amidotransferase subunit D [EC:6.3.5.7]	
ID8001	K03330	tRNA metabolism		gatE; glutamyl-tRNA(Gln) amidotransferase subunit E [EC:6.3.5.7]	
ID8002	K09698	tRNA metabolism		gltX; nondiscriminating glutamyl-tRNA synthetase [EC:6.1.1.24]	
ID8003	K01878	tRNA metabolism		glyQ; glycyl-tRNA synthetase alpha chain [EC:6.1.1.14]	
ID8004	K14164	tRNA metabolism		glyQS; glycyl-tRNA synthetase [EC:6.1.1.14]	
ID8005	K01879	tRNA metabolism		glyS; glycyl-tRNA synthetase beta chain [EC:6.1.1.14]	
ID8006	K03865	tRNA metabolism		GTF1; glutamyl-tRNA(Gln) amidotransferase subunit F [EC:6.3.5.7]	
ID8007	K01892	tRNA metabolism		"HARS, hisS; histidyl-tRNA synthetase [EC:6.1.1.21]"	
ID8008	K01870	tRNA metabolism		"IARS, ileS; isoleucyl-tRNA synthetase [EC:6.1.1.5]"	
ID8009	K04567	tRNA metabolism		"KARS, lysS; lysyl-tRNA synthetase, class II [EC:6.1.1.6]"	
ID8010	K01869	tRNA metabolism		"LARS, leuS; leucyl-tRNA synthetase [EC:6.1.1.4]"	
ID8011	K04566	tRNA metabolism		"lysK; lysyl-tRNA synthetase, class I [EC:6.1.1.6]"	
ID8012	K01893	tRNA metabolism		"NARS, asnS; asparaginyl-tRNA synthetase [EC:6.1.1.22]"	
ID8013	K01881	tRNA metabolism		"PARS, proS; prolyl-tRNA synthetase [EC:6.1.1.15]"	
ID8014	K11627	tRNA metabolism		pylS; pyrrolysyl-tRNA synthetase [EC:6.1.1.26]	
ID8015	K01886	tRNA metabolism		"QARS, glnS; glutaminyl-tRNA synthetase [EC:6.1.1.18]"	
ID8016	K01887	tRNA metabolism		"RARS, argS; arginyl-tRNA synthetase [EC:6.1.1.19]"	
ID8017	K01875	tRNA metabolism		"SARS, serS; seryl-tRNA synthetase [EC:6.1.1.11]"	
ID8018	K06868	tRNA metabolism		sepcysS; Sep-tRNA:Cys-tRNA synthetase [EC:2.5.1.73]	
ID8019	K07587	tRNA metabolism		sepRS; O-phosphoseryl-tRNA synthetase [EC:6.1.1.27]	
ID8020	K01868	tRNA metabolism		"TARS, thrS; threonyl-tRNA synthetase [EC:6.1.1.3]"	
ID8021	K01873	tRNA metabolism		"VARS, valS; valyl-tRNA synthetase [EC:6.1.1.9]"	
ID8022	K01867	tRNA metabolism		"WARS, trpS; tryptophanyl-tRNA synthetase [EC:6.1.1.2]"	
ID8023	K01866	tRNA metabolism		"YARS, tyrS; tyrosyl-tRNA synthetase [EC:6.1.1.1]"	
ID8024	K07254	tRNA metabolism		atrm56; tRNA (cytidine56-2'-O)-methyltransferase [EC:2.1.1.206]	catalyzes the AdoMet-dependent 2'-O-ribose methylation of cytidine at position 56 in tRNAs.
ID8025	K09119	tRNA metabolism		cgi121; KEOPS complex subunit Cgi121	 KEOPS complex that is required for the formation of a threonylcarbamoyl group on adenosine at position 37 (t6A37) in tRNAs that read codons beginning with adenine. 
ID8026	K09741	no_pathway		pcc1; KEOPS complex subunit Pcc1	
ID8027	K08851	no_pathway		"TP53RK, PRPK, BUD32; TP53 regulating kinase and related kinases [EC:2.7.11.1]"	
ID8028	K07560	tRNA metabolism		"dtd, DTD; D-aminoacyl-tRNA deacylase [EC:3.1.1.96]"	
ID8029	K09716	tRNA metabolism		"dtdA, GEK1; D-aminoacyl-tRNA deacylase [EC:3.1.1.96]"	
ID8030	K04795	tRNA metabolism		flpA; fibrillarin-like pre-rRNA processing protein	
ID8031	K01056	no_pathway		"PTH1, pth, spoVC; peptidyl-tRNA hydrolase, PTH1 family [EC:3.1.1.29]"	
ID8032	K04794	no_pathway		"PTH2; peptidyl-tRNA hydrolase, PTH2 family [EC:3.1.1.29]"	
ID8033	K07583	no_pathway		PUS10; tRNA pseudouridine synthase 10 [EC:5.4.99.25]	
ID8034	K07446	no_pathway		trm-G10; tRNA (guanine10-N2)-dimethyltransferase [EC:2.1.1.213]	
ID8035	K15566	no_pathway		trm10; tRNA (adenine9-N1/guanine9-N1)-methyltransferase [EC:2.1.1.218 2.1.1.221]	
ID8036	K15449	no_pathway		TYW1; tRNA wybutosine-synthesizing protein 1 [EC:4.1.3.44]	
ID8037	K15450	no_pathway		TYW3; tRNA wybutosine-synthesizing protein 3 [EC:2.1.1.282]	
ID8038	K18066	no_pathway		TYW5; tRNA wybutosine-synthesizing protein 5 [EC:1.14.11.42]	
ID8039	K15430	no_pathway		"TRM11, TRMT11; tRNA (guanine10-N2)-methyltransferase [EC:2.1.1.214]"	
ID8040	K15448	no_pathway		"TRM112, TRMT112; multifunctional methyltransferase subunit TRM112"	
ID8041	K07055	no_pathway		"TRM12, TYW2; tRNA wybutosine-synthesizing protein 2 [EC:2.5.1.114]"	
ID8042	K15446	no_pathway		"TRM13, CCDC76; tRNA:m4X modification enzyme [EC:2.1.1.225]"	
ID8043	K16318	no_pathway		trm14; tRNA (guanine6-N2)-methyltransferase [EC:2.1.1.256]	
ID8044	K15333	no_pathway		"TRM3, TARBP1; tRNA guanosine-2'-O-methyltransferase [EC:2.1.1.34]"	
ID8045	K22901	no_pathway		trm4; tRNA (cytosine40_48-C5)-methyltransferase [EC:2.1.1.-]	
ID8046	K15447	no_pathway		"TRM44, METTL19; tRNASer (uridine44-2'-O)-methyltransferase [EC:2.1.1.211]"	
ID8047	K15429	no_pathway		"TRM5, TRMT5; tRNA (guanine37-N1)-methyltransferase [EC:2.1.1.228]"	
ID8048	K03256	no_pathway		"TRM6, GCD10; tRNA (adenine58-N1)-methyltransferase non-catalytic subunit"	
ID8049	K07442	no_pathway		"TRM61, GCD14; tRNA (adenine57-N1/adenine58-N1)-methyltransferase catalytic subunit [EC:2.1.1.219 2.1.1.220]"	
ID8050	K15443	no_pathway		"TRM82, WDR4; tRNA (guanine-N(7)-)-methyltransferase subunit TRM82"	
ID8051	K15444	no_pathway		TRM9; tRNA (uracil-5-)-methyltransferase TRM9 [EC:2.1.1.229]	
ID8052	K00557	no_pathway		trmA; tRNA (uracil-5-)-methyltransferase [EC:2.1.1.35]	
ID8053	K03439	no_pathway		"trmB, METTL1, TRM8; tRNA (guanine-N7-)-methyltransferase [EC:2.1.1.33]"	
ID8054	K23356	no_pathway		"trmB; HTH-type transcriptional regulator, sugar sensing transcriptional regulator"	
ID8055	K00554	no_pathway		trmD; tRNA (guanine37-N1)-methyltransferase [EC:2.1.1.228]	
ID8056	K04094	no_pathway		"trmFO, gid; methylenetetrahydrofolate--tRNA-(uracil-5-)-methyltransferase [EC:2.1.1.74]"	
ID8057	K00556	no_pathway		trmH; tRNA (guanosine-2'-O-)-methyltransferase [EC:2.1.1.34]	
ID8058	K15396	no_pathway		trmJ; tRNA (cytidine32/uridine32-2'-O)-methyltransferase [EC:2.1.1.200]	
ID8059	K06967	no_pathway		trmK; tRNA (adenine22-N1)-methyltransferase [EC:2.1.1.217]	
ID8060	K03216	no_pathway		"trmL, cspR; tRNA (cytidine/uridine-2'-O-)-methyltransferase [EC:2.1.1.207]"	
ID8061	K22900	no_pathway		"TRMO, trmO; tRNA (adenine37-N6)-methyltransferase [EC:2.1.1.-]"	
ID8062	K00555	no_pathway		"TRMT1, trm1; tRNA (guanine26-N2/guanine27-N2)-dimethyltransferase [EC:2.1.1.215 2.1.1.216]"	
ID8063	K15445	no_pathway		"TRMT10, TRM10, RG9MTD; tRNA (guanine9-N1)-methyltransferase [EC:2.1.1.221]"	
ID8064	K17654	no_pathway		"TRMT10C, MRPP1; mitochondrial ribonuclease P protein 1 [EC:2.1.1.-]"	
ID8065	K15332	no_pathway		TRMT2A; tRNA (uracil-5-)-methyltransferase [EC:2.1.1.-]	
ID8066	K15331	no_pathway		"TRMT2B, TRM2; tRNA (uracil-5-)-methyltransferase [EC:2.1.1.35]"	
ID8067	K21027	no_pathway		"TRMU, SLM3; tRNA-5-taurinomethyluridine 2-sulfurtransferase [EC:2.8.1.14]"	
ID8068	K16317	no_pathway		trmY; tRNA (pseudouridine54-N1)-methyltransferase [EC:2.1.1.257]	
ID8069	K03177	no_pathway		"truB, PUS4, TRUB1; tRNA pseudouridine55 synthase [EC:5.4.99.25]"	
ID8070	K06176	no_pathway		"truD, PUS7; tRNA pseudouridine13 synthase [EC:5.4.99.27]"	
ID8071	K06175	no_pathway		truC; tRNA pseudouridine65 synthase [EC:5.4.99.26]	
ID8072	K14742	no_pathway		tsaB; tRNA threonylcarbamoyladenosine biosynthesis protein TsaB	
ID8073	K07566	no_pathway		"tsaC, rimN, SUA5; L-threonylcarbamoyladenylate synthase [EC:2.7.7.87]"	
ID8074	K06925	no_pathway		tsaE; tRNA threonylcarbamoyladenosine biosynthesis protein TsaE	
ID8075					
ID8076		Ribosome			
ID8077					
ID8078	K03595	no_pathway		"era, ERAL1; GTPase"	"An essential GTPase that binds both GDP and GTP, with rapid nucleotide exchange. Plays a role in 16S rRNA processing and 30S ribosomal subunit biogenesis and possibly also in cell cycle regulation and energy metabolism (By similarity). Binds both GDP and GTP. "
ID8079	K03977	no_pathway		"engA, der; GTPase"	GTPase that plays an essential role in the late steps of ribosome biogenesis
ID8080	K03978	no_pathway		engB; GTP-binding protein	
ID8081	K03665	no_pathway		hflX; GTPase	GTPase that associates with the 50S ribosomal subunit and may have a role during protein synthesis or ribosome biogenesis.
ID8082	K06207	no_pathway		"typA, bipA; GTP-binding protein"	"A 50S ribosomal subunit assembly protein with GTPase activity, required for 50S subunit assembly at low temperatures, may also play a role in translation"
ID8083	K09140	no_pathway		TSR3; pre-rRNA-processing protein TSR3	
ID8084	K03789	no_pathway		rimI; [ribosomal protein S18]-alanine N-acetyltransferase [EC:2.3.1.266]	
ID8085	K03790	no_pathway		rimJ; [ribosomal protein S5]-alanine N-acetyltransferase [EC:2.3.1.267]	
ID8086	K05844	no_pathway		rimK; ribosomal protein S6--L-glutamate ligase [EC:6.3.2.-]	
ID8087	K03817	no_pathway		rimL; ribosomal-protein-serine acetyltransferase [EC:2.3.1.-]	
ID8088	K02860	no_pathway		rimM; 16S rRNA processing protein RimM	
ID8089	K14441	no_pathway		rimO; ribosomal protein S12 methylthiotransferase [EC:2.8.4.4]	
ID8090	K09748	no_pathway		rimP; ribosome maturation factor RimP	
ID8091					
ID8092	K14336	no_pathway		rlmA2; 23S rRNA (guanine748-N1)-methyltransferase [EC:2.1.1.188]	
ID8093	K03218	no_pathway		rlmB; 23S rRNA (guanosine2251-2'-O)-methyltransferase [EC:2.1.1.185]	
ID8094	K02427	no_pathway		"rlmE, rrmJ, ftsJ; 23S rRNA (uridine2552-2'-O)-methyltransferase [EC:2.1.1.166]"	
ID8095	K06970	no_pathway		rlmF; 23S rRNA (adenine1618-N6)-methyltransferase [EC:2.1.1.181]	
ID8096	K11391	no_pathway		rlmG; 23S rRNA (guanine1835-N2)-methyltransferase [EC:2.1.1.174]	
ID8097	K00783	no_pathway		rlmH; 23S rRNA (pseudouridine1915-N3)-methyltransferase [EC:2.1.1.177]	
ID8098	K06969	no_pathway		rlmI; 23S rRNA (cytosine1962-C5)-methyltransferase [EC:2.1.1.191]	
